city,date,temperature_C,humidity_%,precipitation_mm
Madrid,1984-01-01,5.15,80.83,0.0
Madrid,1984-01-02,2.18,90.02,0.02
Madrid,1984-01-03,1.96,92.01,1.32
Madrid,1984-01-04,1.06,86.55,0.82
Madrid,1984-01-05,0.81,85.36,0.0
Madrid,1984-01-06,4.54,90.21,0.09
Madrid,1984-01-07,6.3,93.23,2.4
Madrid,1984-01-08,4.93,93.2,10.66
Madrid,1984-01-09,0.07,79.62,0.12
Madrid,1984-01-10,-0.99,77.93,0.0
Madrid,1984-01-11,1.16,76.9,0.0
Madrid,1984-01-12,2.75,86.88,0.0
Madrid,1984-01-13,1.82,88.43,0.0
Madrid,1984-01-14,3.28,87.29,0.0
Madrid,1984-01-15,4.07,82.21,0.01
Madrid,1984-01-16,2.64,78.71,0.0
Madrid,1984-01-17,3.46,86.95,0.0
Madrid,1984-01-18,3.0,93.77,0.06
Madrid,1984-01-19,4.85,90.52,1.64
Madrid,1984-01-20,5.51,97.56,4.28
Madrid,1984-01-21,6.01,86.96,1.51
Madrid,1984-01-22,7.0,90.31,8.7
Madrid,1984-01-23,6.93,90.28,1.27
Madrid,1984-01-24,4.32,80.58,0.27
Madrid,1984-01-25,1.87,85.64,0.0
Madrid,1984-01-26,2.06,95.59,1.69
Madrid,1984-01-27,1.21,87.35,0.6
Madrid,1984-01-28,1.61,74.44,0.12
Madrid,1984-01-29,1.56,83.64,2.16
Madrid,1984-01-30,1.55,89.85,5.42
Madrid,1984-01-31,4.67,86.95,1.43
Madrid,1984-02-01,6.19,86.9,1.07
Madrid,1984-02-02,3.86,76.79,0.96
Madrid,1984-02-03,5.03,86.65,0.03
Madrid,1984-02-04,6.86,83.42,0.0
Madrid,1984-02-05,6.33,83.03,0.0
Madrid,1984-02-06,4.26,72.91,0.0
Madrid,1984-02-07,6.17,76.08,0.0
Madrid,1984-02-08,8.69,82.01,0.0
Madrid,1984-02-09,6.15,68.66,0.0
Madrid,1984-02-10,3.19,55.47,0.0
Madrid,1984-02-11,3.51,61.77,0.0
Madrid,1984-02-12,3.24,69.51,0.0
Madrid,1984-02-13,1.79,71.49,0.0
Madrid,1984-02-14,1.7,64.47,0.0
Madrid,1984-02-15,1.83,66.04,0.0
Madrid,1984-02-16,2.83,57.75,0.0
Madrid,1984-02-17,4.24,55.29,0.0
Madrid,1984-02-18,3.3,70.65,0.01
Madrid,1984-02-19,5.22,75.2,0.91
Madrid,1984-02-20,4.68,75.23,0.04
Madrid,1984-02-21,3.49,77.67,0.4
Madrid,1984-02-22,2.14,80.96,0.71
Madrid,1984-02-23,3.82,78.28,2.97
Madrid,1984-02-24,1.8,75.36,2.16
Madrid,1984-02-25,-0.15,71.98,0.64
Madrid,1984-02-26,1.24,56.7,0.0
Madrid,1984-02-27,0.92,78.34,4.71
Madrid,1984-02-28,1.04,93.16,12.45
Madrid,1984-02-29,1.6,81.56,0.11
Madrid,1984-03-01,-0.06,78.97,0.43
Madrid,1984-03-02,1.53,74.51,0.0
Madrid,1984-03-03,3.19,75.91,0.0
Madrid,1984-03-04,2.54,64.83,0.0
Madrid,1984-03-05,3.09,62.2,0.0
Madrid,1984-03-06,4.71,59.57,0.0
Madrid,1984-03-07,6.5,56.73,0.0
Madrid,1984-03-08,6.63,62.68,0.0
Madrid,1984-03-09,1.91,54.94,0.0
Madrid,1984-03-10,0.43,56.84,0.0
Madrid,1984-03-11,1.04,58.31,0.0
Madrid,1984-03-12,2.35,64.41,0.0
Madrid,1984-03-13,1.23,79.45,3.6
Madrid,1984-03-14,1.94,77.43,1.67
Madrid,1984-03-15,1.38,87.38,5.64
Madrid,1984-03-16,2.31,85.15,2.56
Madrid,1984-03-17,3.99,78.17,0.9
Madrid,1984-03-18,5.74,62.22,0.01
Madrid,1984-03-19,4.09,77.46,2.54
Madrid,1984-03-20,5.51,93.26,5.13
Madrid,1984-03-21,7.62,77.22,2.91
Madrid,1984-03-22,6.65,81.96,4.96
Madrid,1984-03-23,6.5,73.86,0.65
Madrid,1984-03-24,8.31,86.68,3.85
Madrid,1984-03-25,7.03,77.49,0.54
Madrid,1984-03-26,6.03,78.04,0.09
Madrid,1984-03-27,7.12,83.68,0.69
Madrid,1984-03-28,8.1,82.07,8.74
Madrid,1984-03-29,7.22,78.17,0.85
Madrid,1984-03-30,11.11,82.8,2.07
Madrid,1984-03-31,7.38,91.04,8.7
Madrid,1984-04-01,8.29,78.44,1.83
Madrid,1984-04-02,11.0,84.96,1.87
Madrid,1984-04-03,12.13,78.84,2.76
Madrid,1984-04-04,9.51,71.94,0.01
Madrid,1984-04-05,8.29,71.86,0.02
Madrid,1984-04-06,9.87,63.09,0.0
Madrid,1984-04-07,11.04,64.45,0.0
Madrid,1984-04-08,12.98,57.07,0.0
Madrid,1984-04-09,14.21,65.56,0.0
